name,D1,D2,Sum_director,year,country,types,score,num
肖申克的救赎,弗兰克·德拉邦特,,1,1994,美国,犯罪,9.7,3235723
霸王别姬,陈凯歌,,1,1993,中国大陆,剧情,9.6,2388121
泰坦尼克号,詹姆斯·卡梅隆,,1,1997,美国,剧情,9.5,2458306
阿甘正传,罗伯特·泽米吉斯,,1,1994,美国,剧情,9.5,2397636
千与千寻,宫崎骏,,1,2001,日本,剧情,9.4,2498589
美丽人生,罗伯托·贝尼尼,,1,1997,意大利,剧情,9.5,1461611
星际穿越,克里斯托弗·诺兰,,1,2014,美国,剧情,9.4,2138435
这个杀手不太冷,吕克·贝松,,1,1994,法国,剧情,9.4,2522041
盗梦空间,克里斯托弗·诺兰,,1,2010,美国,剧情,9.4,2292458
楚门的世界,彼得·威尔,,1,1998,美国,剧情,9.4,1981296
辛德勒的名单,史蒂文·斯皮尔伯格,,1,1993,美国,剧情,9.5,1231641
忠犬八公的故事,莱塞·霍尔斯道姆,,1,2009,美国,剧情,9.4,1524347
海上钢琴师,朱塞佩·托纳多雷,,1,1998,意大利,剧情,9.3,1855172
疯狂动物城,拜伦·霍华德,瑞奇·摩尔,2,2016,美国,喜剧,9.3,2257728
三傻大闹宝莱坞,拉库马·希拉尼,,1,2009,印度,剧情,9.2,2049951
机器人总动员,安德鲁·斯坦顿,,1,2008,美国,科幻,9.3,1466921
放牛班的春天,克里斯托夫·巴拉蒂,,1,2004,法国,剧情,9.3,1453348
无间道,刘伟强,麦兆辉,2,2002,中国香港,剧情,9.3,1539795
控方证人,比利·怀尔德,,1,1957,美国,剧情,9.6,698346
大话西游之大圣娶亲,刘镇伟,,1,1995,中国香港,喜剧,9.2,1687928
熔炉,黄东赫,,1,2011,韩国,剧情,9.3,1023937
寻梦环游记,李·昂克里奇,阿德里安·莫利纳,2,2017,美国,喜剧,9.1,1946136
触不可及,奥利维·那卡什,艾力克·托兰达,2,2011,法国,剧情,9.3,1274380
教父,弗朗西斯·福特·科波拉,,1,1972,美国,剧情,9.3,1088615
当幸福来敲门,加布里尔·穆奇诺,,1,2006,美国,剧情,9.1,1666297
末代皇帝,贝纳尔多·贝托鲁奇,,1,1987,英国,剧情,9.3,1012411
哈利·波特与魔法石,Chris Columbus,,1,2001,美国,奇幻,9.2,1396247
龙猫,宫崎骏,,1,1988,日本,动画,9.2,1393588
活着,张艺谋,,1,1994,中国大陆,剧情,9.3,955609
怦然心动,罗伯·莱纳,,1,2010,美国,剧情,9.1,2023883
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,,1,2008,美国,剧情,9.2,1177351
指环王3：王者无敌,彼得·杰克逊,,1,2003,美国,剧情,9.3,897068
我不是药神,文牧野,,1,2018,中国大陆,剧情,9.0,2323133
乱世佳人,维克多·弗莱明,乔治·库克,2,1939,美国,剧情,9.3,780956
飞屋环游记,彼特·道格特,鲍勃·彼德森,2,2009,美国,剧情,9.1,1477117
让子弹飞,姜文,,1,2010,中国大陆,剧情,9.0,1895569
哈尔的移动城堡,宫崎骏,,1,2004,日本,爱情,9.1,1267494
十二怒汉,西德尼·吕美特,,1,1957,美国,剧情,9.4,567911
海蒂和爷爷,阿兰·葛斯彭纳,,1,2015,德国,剧情,9.3,760036
素媛,李濬益,,1,2013,韩国,剧情,9.3,766011
猫鼠游戏,史蒂文·斯皮尔伯格,,1,2002,美国,传记,9.1,1188361
天空之城,宫崎骏,,1,1986,日本,动画,9.2,995417
鬼子来了,姜文,,1,2000,中国大陆,剧情,9.3,705152
摔跤吧！爸爸,涅提·蒂瓦里,,1,2016,印度,剧情,9.0,1723732
少年派的奇幻漂流,李安,,1,2012,美国,剧情,9.1,1473465
钢琴家,罗曼·波兰斯基,,1,2002,英国,剧情,9.3,738059
指环王2：双塔奇兵,彼得·杰克逊,,1,2002,美国,剧情,9.2,844458
死亡诗社,彼得·威尔,,1,1989,美国,剧情,9.2,862620
大话西游之月光宝盒,刘镇伟,,1,1995,中国香港,喜剧,9.0,1347544
何以为家,娜丁·拉巴基,,1,2018,黎巴嫩,剧情,9.1,1150447
绿皮书,彼得·法雷里,,1,2018,美国,剧情,8.9,1864432
闻香识女人,马丁·布莱斯,,1,1992,美国,剧情,9.1,1007807
大闹天宫,万籁鸣,,1,1978,中国大陆,剧情,9.4,501564
黑客帝国,安迪·沃卓斯基,拉娜·沃卓斯基,2,1999,美国,动作,9.1,935955
指环王1：护戒使者,彼得·杰克逊,,1,2001,新西兰,剧情,9.1,945944
罗马假日,威廉·惠勒,,1,1953,美国,喜剧,9.1,1036520
教父2,弗朗西斯·福特·科波拉,,1,1974,美国,剧情,9.3,628657
狮子王,罗伯·明可夫,,1,1994,美国,动画,9.1,947144
天堂电影院,朱塞佩·托纳多雷,,1,1988,意大利,剧情,9.2,733092
饮食男女,李安,,1,1994,中国台湾,剧情,9.2,712151
辩护人,杨宇硕,,1,2013,韩国,剧情,9.2,651131
本杰明·巴顿奇事,大卫·芬奇,,1,2008,美国,剧情,9.0,1091385
搏击俱乐部,大卫·芬奇,,1,1999,美国,剧情,9.0,957826
美丽心灵,朗·霍华德,,1,2001,美国,传记,9.1,844878
穿条纹睡衣的男孩,马克·赫尔曼,,1,2008,英国,剧情,9.2,633650
情书,岩井俊二,,1,1995,日本,剧情,8.9,1304140
哈利·波特与死亡圣器(下),大卫·叶茨,,1,2011,美国,奇幻,9.0,956486
两杆大烟枪,盖·里奇,,1,1998,英国,剧情,9.1,667372
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,,1,2006,德国,剧情,9.2,624875
音乐之声,罗伯特·怀斯,,1,1965,美国,剧情,9.1,675082
功夫,周星驰,,1,2004,中国大陆,动作,8.9,1314010
西西里的美丽传说,朱塞佩·托纳多雷,,1,2000,意大利,剧情,8.9,1081617
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,,1,2004,英国,奇幻,9.0,875942
阿凡达,詹姆斯·卡梅隆,,1,2009,美国,动作,8.8,1555356
看不见的客人,奥里奥尔·保罗,,1,2016,西班牙,剧情,8.8,1422019
拯救大兵瑞恩,史蒂文·斯皮尔伯格,,1,1998,美国,剧情,9.1,716243
沉默的羔羊,乔纳森·戴米,,1,1991,美国,剧情,8.9,1002029
小鞋子,马基德·马基迪,,1,1997,伊朗,剧情,9.2,457322
布达佩斯大饭店,韦斯·安德森,,1,2014,美国,剧情,8.9,1069491
飞越疯人院,米洛斯·福尔曼,,1,1975,美国,剧情,9.1,597014
